fid,date_group,local_striketime,gmt_striketime,mst_striketime,latitude,longitude,strength,multiplicity
1,2023/04/01 00:00:00,2023/04/01 15:27:46,2023/04/01 21:27:46,2023/04/01 14:27:46,56.8951,-116.5325,-14,1
2,2023/04/01 00:00:00,2023/04/01 18:49:55,2023/04/02 00:49:55,2023/04/01 17:49:55,56.9095,-116.6828,-26,2
3,2023/04/17 00:00:00,2023/04/17 14:32:52,2023/04/17 20:32:52,2023/04/17 13:32:52,53.7522,-111.7199,19,0
4,2023/04/17 00:00:00,2023/04/17 14:34:14,2023/04/17 20:34:14,2023/04/17 13:34:14,53.7891,-111.7581,33,1
5,2023/04/17 00:00:00,2023/04/17 14:42:21,2023/04/17 20:42:21,2023/04/17 13:42:21,53.7905,-111.7377,93,1
6,2023/04/17 00:00:00,2023/04/17 15:07:03,2023/04/17 21:07:03,2023/04/17 14:07:03,53.3114,-113.7133,80,1
7,2023/04/17 00:00:00,2023/04/17 15:07:36,2023/04/17 21:07:36,2023/04/17 14:07:36,53.0328,-113.4262,-83,1
8,2023/04/17 00:00:00,2023/04/17 15:08:34,2023/04/17 21:08:34,2023/04/17 14:08:34,53.8246,-111.6362,44,1
9,2023/04/17 00:00:00,2023/04/17 15:28:49,2023/04/17 21:28:49,2023/04/17 14:28:49,53.1777,-113.2925,-35,1
10,2023/04/17 00:00:00,2023/04/17 15:28:50,2023/04/17 21:28:50,2023/04/17 14:28:50,52.9692,-113.3504,-93,2
11,2023/04/17 00:00:00,2023/04/17 15:28:50,2023/04/17 21:28:50,2023/04/17 14:28:50,53.1768,-113.286,-19,1
12,2023/04/17 00:00:00,2023/04/17 15:32:47,2023/04/17 21:32:47,2023/04/17 14:32:47,52.5827,-112.4752,41,1
13,2023/04/17 00:00:00,2023/04/17 15:32:47,2023/04/17 21:32:47,2023/04/17 14:32:47,53.8832,-113.0857,14,1
14,2023/04/17 00:00:00,2023/04/17 15:33:08,2023/04/17 21:33:08,2023/04/17 14:33:08,52.8332,-112.4111,64,1
15,2023/04/17 00:00:00,2023/04/17 15:34:43,2023/04/17 21:34:43,2023/04/17 14:34:43,53.8272,-111.5172,50,1
16,2023/04/17 00:00:00,2023/04/17 15:34:43,2023/04/17 21:34:43,2023/04/17 14:34:43,54.1848,-111.7173,-28,1
17,2023/04/17 00:00:00,2023/04/17 15:40:10,2023/04/17 21:40:10,2023/04/17 14:40:10,54.0619,-111.6702,14,0
18,2023/04/17 00:00:00,2023/04/17 15:40:29,2023/04/17 21:40:29,2023/04/17 14:40:29,53.8487,-111.5014,125,1
19,2023/04/17 00:00:00,2023/04/17 15:41:59,2023/04/17 21:41:59,2023/04/17 14:41:59,54.0623,-111.6304,32,3
20,2023/04/17 00:00:00,2023/04/17 15:44:14,2023/04/17 21:44:14,2023/04/17 14:44:14,54.0558,-111.6152,34,1
21,2023/04/17 00:00:00,2023/04/17 15:46:28,2023/04/17 21:46:28,2023/04/17 14:46:28,53.7947,-111.4343,-28,0
22,2023/04/17 00:00:00,2023/04/17 15:47:09,2023/04/17 21:47:09,2023/04/17 14:47:09,52.8554,-112.357,43,1
23,2023/04/17 00:00:00,2023/04/17 15:47:57,2023/04/17 21:47:57,2023/04/17 14:47:57,54.0871,-111.5768,27,1
24,2023/04/17 00:00:00,2023/04/17 15:53:38,2023/04/17 21:53:38,2023/04/17 14:53:38,54.1378,-111.6139,-16,1
