fid,date_group,local_striketime,gmt_striketime,mst_striketime,latitude,longitude,strength,multiplicity
1,2023/10/01 00:00:00,2023/10/01 12:19:29,2023/10/01 18:19:29,2023/10/01 11:19:29,51.5155,-112.7894,-17,1
2,2023/10/01 00:00:00,2023/10/01 17:48:28,2023/10/01 23:48:28,2023/10/01 16:48:28,53.6223,-113.5548,30,1
3,2023/10/01 00:00:00,2023/10/01 20:07:23,2023/10/02 02:07:23,2023/10/01 19:07:23,52.9378,-111.5602,13,0
4,2023/10/01 00:00:00,2023/10/01 20:53:13,2023/10/02 02:53:13,2023/10/01 19:53:13,52.4074,-111.4569,10,0
5,2023/10/01 00:00:00,2023/10/01 21:08:07,2023/10/02 03:08:07,2023/10/01 20:08:07,50.5946,-110.9803,-19,1
6,2023/10/01 00:00:00,2023/10/01 21:35:51,2023/10/02 03:35:51,2023/10/01 20:35:51,51.4973,-111.8244,32,1
7,2023/10/01 00:00:00,2023/10/01 22:47:59,2023/10/02 04:47:59,2023/10/01 21:47:59,54.6303,-113.9312,-13,1
8,2023/10/02 00:00:00,2023/10/02 13:49:24,2023/10/02 19:49:24,2023/10/02 12:49:24,53.0674,-116.624,-14,1
9,2023/10/02 00:00:00,2023/10/02 13:50:38,2023/10/02 19:50:38,2023/10/02 12:50:38,53.0543,-116.6253,-18,2
10,2023/10/02 00:00:00,2023/10/02 13:50:38,2023/10/02 19:50:38,2023/10/02 12:50:38,53.0531,-116.6209,-19,2
11,2023/10/02 00:00:00,2023/10/02 13:51:51,2023/10/02 19:51:51,2023/10/02 12:51:51,53.0736,-116.5913,-13,2
12,2023/10/02 00:00:00,2023/10/02 14:06:12,2023/10/02 20:06:12,2023/10/02 13:06:12,53.1091,-116.5771,-21,1
13,2023/10/02 00:00:00,2023/10/02 14:07:28,2023/10/02 20:07:28,2023/10/02 13:07:28,53.0291,-116.4877,-40,2
14,2023/10/02 00:00:00,2023/10/02 16:03:51,2023/10/02 22:03:51,2023/10/02 15:03:51,52.4959,-115.1528,-26,1
15,2023/10/02 00:00:00,2023/10/02 16:03:52,2023/10/02 22:03:52,2023/10/02 15:03:52,52.6083,-115.1269,-18,1
16,2023/10/02 00:00:00,2023/10/02 16:14:30,2023/10/02 22:14:30,2023/10/02 15:14:30,52.5854,-115.0579,-20,1
17,2023/10/02 00:00:00,2023/10/02 16:15:24,2023/10/02 22:15:24,2023/10/02 15:15:24,52.9156,-115.077,-13,1
18,2023/10/02 00:00:00,2023/10/02 16:16:14,2023/10/02 22:16:14,2023/10/02 15:16:14,52.9251,-115.0866,-14,1
19,2023/10/02 00:00:00,2023/10/02 16:17:43,2023/10/02 22:17:43,2023/10/02 15:17:43,52.9104,-115.049,-17,1
20,2023/10/02 00:00:00,2023/10/02 16:18:50,2023/10/02 22:18:50,2023/10/02 15:18:50,52.9131,-115.0709,-12,2
21,2023/10/02 00:00:00,2023/10/02 16:20:30,2023/10/02 22:20:30,2023/10/02 15:20:30,52.4526,-114.6581,-24,3
