time,latitude,longitude,step,surface,valid_time,sp,tp,t2m,d2m,v10,u10,date,is_fire_day
2006-03-02,60.0,-120.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,97133.0,8.5830686e-07,256.7332,253.25592,1.6407709,-1.2583466,2006-03-02,0
2006-03-02,60.0,-119.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,96163.0,8.5830686e-07,257.25076,253.34772,2.1085443,-1.6450653,2006-03-02,0
2006-03-02,60.0,-119.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,95675.0,8.5830686e-07,256.72342,252.77936,2.5255365,-1.5151825,2006-03-02,0
2006-03-02,60.0,-118.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,95335.0,8.5830686e-07,256.76248,252.91803,2.6075678,-1.2231903,2006-03-02,0
2006-03-02,60.0,-118.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,95149.0,8.5830686e-07,256.16873,252.53522,2.55581,-0.96635437,2006-03-02,0
2006-03-02,60.0,-117.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,95450.0,8.5830686e-07,251.9324,249.4317,1.4181147,1.1010284,2006-03-02,0
2006-03-02,60.0,-117.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,99513.0,3.3676622e-07,251.85428,249.24615,0.7354975,2.02388,2006-03-02,0
2006-03-02,60.0,-116.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,99295.0,8.5830686e-07,249.33084,246.711,1.2794428,1.1107941,2006-03-02,0
2006-03-02,60.0,-116.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,100035.0,8.5830686e-07,249.62772,246.94928,1.6134272,0.31782532,2006-03-02,0
2006-03-02,60.0,-115.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,99748.0,8.5830686e-07,250.99881,248.12506,1.2862787,-0.47416687,2006-03-02,0
2006-03-02,60.0,-115.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,99651.0,8.5830686e-07,252.50076,249.69147,1.1095209,-1.5649872,2006-03-02,0
2006-03-02,60.0,-114.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,99880.0,8.5830686e-07,253.47147,250.83209,1.189599,-1.8472137,2006-03-02,0
2006-03-02,60.0,-114.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,99831.0,8.5830686e-07,252.56522,249.8653,1.2647943,-1.8940887,2006-03-02,0
2006-03-02,60.0,-113.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,100158.0,8.5830686e-07,250.93436,248.33405,1.27456,-2.0347137,2006-03-02,0
2006-03-02,60.0,-113.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,100509.0,8.5830686e-07,249.38748,246.75787,1.2149897,-2.0239716,2006-03-02,0
2006-03-02,60.0,-112.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,101036.0,8.5830686e-07,249.63553,247.04498,0.7892084,-2.1597137,2006-03-02,0
2006-03-02,60.0,-112.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,101364.0,8.5830686e-07,251.59842,249.06256,0.1437006,-2.3403778,2006-03-02,0
